timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687752086759,3430,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-1,text,true,,1663,128,2,2,https://reqres.in/api/users?delay=3,3430,0,0
1687752090179,29,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,703,123,2,2,https://reqres.in/api/users/23,29,0,0
1687752090191,28,HTTP Request LIST USERS,200,OK,Thread Group 1-1,text,true,,1745,127,2,2,https://reqres.in/api/users?page=2,28,0,0
1687752090208,24,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-2,text,true,,1423,122,2,2,https://reqres.in/api/unknown,24,0,0
1687752090220,22,HTTP Request SINGLE USER,200,OK,Thread Group 1-1,text,true,,992,122,2,2,https://reqres.in/api/users/2,22,0,0
1687752090232,35,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-2,text,true,,943,124,2,2,https://reqres.in/api/unknown/2,35,0,0
1687752090242,25,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,693,123,2,2,https://reqres.in/api/users/23,25,0,0
1687752090267,22,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-1,text,true,,1419,122,2,2,https://reqres.in/api/unknown,22,0,0
1687752090267,22,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,695,125,2,2,https://reqres.in/api/unknown/23,22,0,0
1687752090289,23,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-1,text,true,,947,124,2,2,https://reqres.in/api/unknown/2,23,0,0
1687752090312,23,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,695,125,2,2,https://reqres.in/api/unknown/23,23,0,0
1687752090289,436,HTTP Request CREATE,201,Created,Thread Group 1-2,text,true,,752,229,2,2,https://reqres.in/api/users,436,0,0
1687752090335,422,HTTP Request CREATE,201,Created,Thread Group 1-1,text,true,,750,229,2,2,https://reqres.in/api/users,422,0,0
1687752090726,399,HTTP Request UPDATE,200,OK,Thread Group 1-2,text,true,,739,237,2,2,https://reqres.in/api/users/2,399,0,0
1687752090758,421,HTTP Request UPDATE,200,OK,Thread Group 1-1,text,true,,733,237,2,2,https://reqres.in/api/users/2,421,0,0
1687752091125,463,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-2,text,true,,741,239,2,2,https://reqres.in/api/users/2,463,0,0
1687752091180,411,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-1,text,true,,733,239,2,2,https://reqres.in/api/users/2,411,0,0
1687752091591,464,HTTP Request DELETE,204,No Content,Thread Group 1-1,,true,,614,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752092055,467,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,689,250,2,2,https://reqres.in/api/register,467,0,0
1687752092522,430,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,698,227,2,2,https://reqres.in/api/register,430,0,0
1687752092953,433,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,682,251,2,2,https://reqres.in/api/login,433,0,0
1687752093387,446,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,688,225,2,2,https://reqres.in/api/login,446,0,0
1687752093834,3447,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-1,text,true,,1653,128,2,2,https://reqres.in/api/users?delay=3,3447,0,0
1687752097280,25,HTTP Request LIST USERS,200,OK,Thread Group 1-1,text,true,,1751,127,2,2,https://reqres.in/api/users?page=2,25,0,0
1687752097305,28,HTTP Request SINGLE USER,200,OK,Thread Group 1-1,text,true,,994,122,2,2,https://reqres.in/api/users/2,28,0,0
1687752097334,23,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,695,123,2,2,https://reqres.in/api/users/23,23,0,0
1687752097358,27,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-1,text,true,,1423,122,2,2,https://reqres.in/api/unknown,27,0,0
1687752097386,23,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-1,text,true,,951,124,2,2,https://reqres.in/api/unknown/2,23,0,0
1687752097409,21,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,695,125,2,2,https://reqres.in/api/unknown/23,21,0,0
1687752097431,417,HTTP Request CREATE,201,Created,Thread Group 1-1,text,true,,750,229,2,2,https://reqres.in/api/users,417,0,0
1687752097848,441,HTTP Request UPDATE,200,OK,Thread Group 1-1,text,true,,737,237,2,2,https://reqres.in/api/users/2,441,0,0
1687752098290,401,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-1,text,true,,737,239,2,2,https://reqres.in/api/users/2,401,0,0
1687752098691,407,HTTP Request DELETE,204,No Content,Thread Group 1-1,,true,,616,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752099099,435,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,689,250,2,2,https://reqres.in/api/register,435,0,0
1687752099535,456,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,694,227,2,2,https://reqres.in/api/register,456,0,0
1687752099992,430,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,692,251,2,2,https://reqres.in/api/login,430,0,0
1687752100422,437,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,696,225,2,2,https://reqres.in/api/login,437,0,0
1687752100859,3467,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-1,text,true,,1653,128,2,2,https://reqres.in/api/users?delay=3,3467,0,0
1687752104326,49,HTTP Request LIST USERS,200,OK,Thread Group 1-1,text,true,,1741,127,2,2,https://reqres.in/api/users?page=2,49,0,0
1687752104376,28,HTTP Request SINGLE USER,200,OK,Thread Group 1-1,text,true,,992,122,2,2,https://reqres.in/api/users/2,28,0,0
1687752104404,23,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,701,123,2,2,https://reqres.in/api/users/23,23,0,0
1687752104427,31,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-1,text,true,,1425,122,2,2,https://reqres.in/api/unknown,31,0,0
